NO,PTN,KODE PRODI,NAMA PRODI,RATAAN,S.BAKU,MIN,MAX,type
320,UNIVERSITAS SEBELAS MARET,3531046.0,AGRIBISNIS,615.65,10.52,602.22,647.1,humanities
321,UNIVERSITAS NEGERI YOGYAKARTA,3621045.0,PENDIDIKAN BIOLOGI,623.34,21.82,602.2,708.4,science
322,UNIVERSITAS JENDERAL SOEDIRMAN,3511026.0,KIMIA,612.73,8.69,602.09,637.06,science
323,INSTITUT PERTANIAN BOGOR,3411137.0,KOMUNIKASI DAN PENGEMBANGAN MASYARAKAT,620.53,14.45,601.92,660.62,humanities
324,UPN VETERAN YOGYAKARTA,3631047,TEKNIK LINGKUNGAN,616.4,10.18,601.81,647.96,science
325,INSTITUT PERTANIAN BOGOR,3411087.0,ILMU DAN TEKNOLOGI KELAUTAN,621.38,12.73,601.8,647.83,science
326,UNIVERSITAS PADJADJARAN,3331214.0,TEKNOLOGI INDUSTRI PERTANIAN,619.66,12.56,601.72,641.9,science
327,UNIVERSITAS NEGERI YOGYAKARTA,3621022.0,PENDIDIKAN FISIKA,625.08,19.25,601.48,677.22,science
328,UNIVERSITAS NEGERI YOGYAKARTA,3621134.0,BIOLOGI,617.05,9.68,601.48,645.41,science
329,UPN VETERAN JAWA TIMUR,3851031,TEKNIK KIMIA,613.83,12.16,601.2,657.49,science
330,UNIVERSITAS NEGERI JAKARTA,3231012.0,PENDIDIKAN MATEMATIKA,628.94,26.68,601.08,696.1,science
331,UNIVERSITAS NEGERI MALANG,3731017.0,PENDIDIKAN MATEMATIKA,625.57,20.7,601.04,686.46,science
332,INSTITUT PERTANIAN BOGOR,3411377.0,MANAJEMEN SUMBERDAYA LAHAN,615.13,12.9,600.72,654.38,humanities
333,UPN VETERAN YOGYAKARTA,3631032,TEKNIK PERMINYAKAN,621.13,17.25,600.2,673.03,science
334,UNIVERSITAS NEGERI SEMARANG,3561014.0,PENDIDIKAN MATEMATIKA,617.21,16.93,600.14,670.0,science
335,UNIVERSITAS LAMBUNG MANGKURAT,5311384.0,KEDOKTERAN GIGI,617.18,14.18,600.08,669.08,science
336,UNIVERSITAS JENDERAL SOEDIRMAN,3511115.0,KESEHATAN MASYARAKAT,616.47,13.5,599.99,649.7,science
337,UNIVERSITAS PENDIDIKAN INDONESIA,3341077.0,FISIKA,617.38,13.02,599.94,644.42,science
338,UNIVERSITAS GADJAH MADA,3611325.0,ILMU DAN INDUSTRI PETERNAKAN,618.93,14.86,599.64,677.14,science
339,UPN VETERAN YOGYAKARTA,3631136,SISTEM INFORMASI,615.9,16.78,599.52,661.28,science
340,UNIVERSITAS PENDIDIKAN INDONESIA,3341197.0,TEKNIK SIPIL,615.63,12.84,599.23,664.95,science
341,INSTITUT PERTANIAN BOGOR,3411025.0,AGRONOMI DAN HORTIKULTURA,621.06,18.85,599.14,699.06,science
342,UNIVERSITAS GADJAH MADA,3611275.0,PENYULUHAN DAN KOMUNIKASI PERTANIAN,619.57,14.08,599.0,639.34,humanities
343,UNIVERSITAS PATTIMURA,8111246.0,PENDIDIKAN DOKTER,610.81,9.8,599.0,632.44,science
344,UNIVERSITAS JEMBER,3711172.0,TEKNIK SIPIL,617.52,17.14,598.92,690.67,science
345,UNIVERSITAS BRAWIJAYA,3721383.0,INSTRUMENTASI,613.33,11.18,598.77,635.14,science
346,UNIVERSITAS JENDERAL SOEDIRMAN,3511081.0,TEKNIK ELEKTRO,614.8,15.81,598.69,679.06,science
347,UNIVERSITAS PADJADJARAN,3331237.0,KEDOKTERAN HEWAN,626.5,21.96,598.65,673.43,science
348,UNIVERSITAS PADJADJARAN,3331075.0,AGROTEKNOLOGI,615.21,13.68,598.6,660.48,science
349,UNIVERSITAS BRAWIJAYA,3721433.0,TEKNOLOGI BIOPROSES,610.21,10.42,598.45,640.54,science
350,UNIVERSITAS SRIWIJAYA,1711013.0,TEKNIK SIPIL,617.74,17.02,598.44,676.12,science
351,UNIVERSITAS TADULAKO,7311183.0,PEND. DOKTER,611.69,12.96,598.37,654.01,science
352,UNIVERSITAS NEGERI SEMARANG,3561092.0,MATEMATIKA,619.17,18.8,598.3,678.4,science
353,UNIVERSITAS NEGERI MALANG,3731114.0,MATEMATIKA,614.89,16.33,597.86,687.16,science
354,UPN VETERAN JAKARTA,3241053,SISTEM INFORMASI,616.78,15.98,597.63,659.54,science
355,UNIVERSITAS NEGERI YOGYAKARTA,3621111.0,FISIKA,612.89,16.94,597.55,662.37,science
356,UNIVERSITAS NEGERI YOGYAKARTA,3621463.0,TEKNIK SIPIL,611.34,11.77,597.53,640.58,science
357,UNIVERSITAS DIPONEGORO,3551155.0,OCEANOGRAFI,616.78,17.16,597.53,679.93,science
358,INSTITUT PERTANIAN BOGOR,3411451.0,FISIKA,619.09,16.32,597.46,658.89,science
359,UNIVERSITAS AIRLANGGA,3811045.0,KEDOKTERAN HEWAN,621.23,17.57,597.27,681.47,science
360,UNIVERSITAS BRAWIJAYA,3721201.0,TEKNOLOGI INDUSTRI PERTANIAN,616.68,15.14,597.02,665.22,science
361,UNIVERSITAS NEGERI MALANG,3731161.0,TEKNIK SIPIL,612.14,13.37,596.99,655.21,science
