NO,PTN,KODE PRODI,NAMA PRODI,RATAAN,S.BAKU,MIN,MAX,type
459,UNIVERSITAS NEGERI MALANG,3731203.0,TEKNIK ELEKTRO,603.67,12.41,586.69,632.72,science
460,UNIVERSITAS BRAWIJAYA,3721313.0,ILMU KELAUTAN,605.14,15.3,586.46,651.99,science
461,UNIVERSITAS DIPONEGORO,3551317.0,AGROEKOTEKNOLOGI,604.24,16.61,586.32,674.68,science
462,UPN VETERAN YOGYAKARTA,3631121,ILMU TANAH,597.33,12.55,585.84,652.8,science
463,UNIVERSITAS SUMATERA UTARA,1211023.0,TEKNIK SIPIL,608.18,17.24,585.83,655.41,science
464,UNIVERSITAS SAM RATULANGI,7211023.0,PENDIDIKAN DOKTER GIGI,595.67,10.64,585.67,623.97,science
465,UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,3651013.0,MATEMATIKA,604.46,16.23,585.61,670.53,science
466,UNIVERSITAS NEGERI SEMARANG,3561103.0,FISIKA,596.61,12.0,585.46,632.22,science
467,UNIVERSITAS SEBELAS MARET,3531305.0,PENDIDIKAN IPA,596.62,11.78,585.32,628.48,science
468,UNIVERSITAS NEGERI SEMARANG,3561037.0,PENDIDIKAN KIMIA,599.5,12.91,584.98,638.26,science
469,UNIVERSITAS RIAU,1311167.0,TEKNIK KIMIA,601.72,14.11,584.97,643.03,science
470,UNIVERSITAS ANDALAS,1411072.0,KIMIA,599.89,15.04,584.92,647.89,science
471,UNIVERSITAS JEMBER,3711141.0,KESEHATAN MASYARAKAT,603.08,16.94,584.91,667.36,science
472,UNIVERSITAS LAMPUNG,1911352.0,FARMASI,601.06,13.39,584.9,624.61,science
473,UNIVERSITAS JEMBER,3711206.0,SISTEM INFORMASI,606.66,20.12,584.79,668.69,science
474,INSTITUT PERTANIAN BOGOR,3411404.0,TEKNOLOGI HASIL PERAIRAN,606.92,18.24,584.72,650.78,science
475,UNIVERSITAS AIRLANGGA,3811103.0,PENDIDIKAN NERS,610.03,23.71,584.57,712.46,science
476,UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,3651036.0,KIMIA,599.65,11.86,584.44,628.94,science
477,UNIVERSITAS ISLAM NEGERI JAKARTA,3221064.0,KIMIA,599.45,12.69,584.28,638.84,science
478,UNIVERSITAS NEGERI SEMARANG,3561022.0,PENDIDIKAN FISIKA,596.48,12.38,584.02,630.16,science
479,UNIVERSITAS NEGERI YOGYAKARTA,3621092.0,PENDIDIKAN TEKNIK SIPIL & PERENCANAAN,601.04,15.17,584.0,657.42,science
480,UNIVERSITAS ISLAM NEGERI JAKARTA,3221025.0,TEKNIK INFORMATIKA,605.65,19.01,583.87,666.44,science
481,UNIVERSITAS NEGERI YOGYAKARTA,3621455.0,TEKNIK MANUFAKTUR,600.75,15.81,583.7,636.41,science
482,UNIVERSITAS SEBELAS MARET,3531263.0,PENYULUHAN DAN KOMUNIKASI PERTANIAN,596.1,14.97,583.67,678.87,humanities
483,UNIVERSITAS NEGERI SEMARANG,3561045.0,PENDIDIKAN BIOLOGI,598.92,13.96,583.6,637.18,science
484,UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,3361066.0,TEKNIK INFORMATIKA,603.88,16.75,583.54,653.39,science
485,UNIVERSITAS ANDALAS,1411056.0,ILMU KESEHATAN MASYARAKAT,601.49,14.1,583.38,648.17,science
486,INSTITUT PERTANIAN BOGOR,3411482.0,TEKNOLOGI HASIL TERNAK,604.94,16.14,583.2,631.42,science
487,UNIVERSITAS NEGERI MALANG,3731192.0,TEKNIK MESIN,603.14,19.3,583.2,659.63,science
488,UNIVERSITAS NEGERI MALANG,3731226.0,TEKNIK INDUSTRI,597.91,13.35,583.19,636.45,science
489,UNIVERSITAS DIPONEGORO,3551325.0,AGRIBISNIS,604.37,13.57,582.8,629.58,humanities
490,UNIVERSITAS UDAYANA,6111207.0,ILMU KOMPUTER/TEKNIK INFORMATIKA,612.39,25.68,582.76,723.78,science
491,UPN VETERAN JAKARTA,3241076,KEPERAWATAN,597.71,12.27,582.64,622.13,science
492,UPN VETERAN JAKARTA,3241022,TEKNIK PERKAPALAN,599.16,12.41,582.53,623.35,science
493,UNIVERSITAS PENDIDIKAN INDONESIA,3341201.0,PENDIDIKAN ILMU PENGETAHUAN ALAM,596.48,22.49,582.5,677.86,science
494,UNIVERSITAS NEGERI MALANG,3731145.0,BIOLOGI,597.97,15.94,582.4,643.74,science
495,UNIVERSITAS SRIWIJAYA,1711284.0,TEKNIK INFORMATIKA,607.65,23.66,582.37,670.07,science
496,UNIVERSITAS ANDALAS,1411114.0,SISTEM KOMPUTER,598.45,16.02,582.23,653.16,science
497,UNIVERSITAS NEGERI SEMARANG,3561142.0,PENDIDIKAN IPA,594.6,13.04,582.14,630.12,science
498,UNIVERSITAS NEGERI MALANG,3731184.0,ILMU KESEHATAN MASYARAKAT,598.79,17.46,582.05,687.01,science
499,UNIVERSITAS SRIWIJAYA,1711342.0,PSIKOLOGI,612.53,16.76,581.97,647.92,humanities
500,UNIVERSITAS BRAWIJAYA,3721263.0,AGROEKOTEKNOLOGI,597.59,13.54,581.92,655.66,science
